               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075662,            0.023935,             0.04995,               0.783,             0.19741,             0.18652,             0.16681,            0.021645,           0.0071007,            0.019199,            0.070326,           0.0032971,           0.0032971
                   1,            0.037582,             0.01578,            0.039332,             0.83596,             0.30721,             0.33534,             0.31259,            0.012447,           0.0041437,            0.016791,            0.040195,           0.0064992,           0.0064992
                   2,             0.03352,            0.012306,             0.03586,             0.90612,             0.29033,             0.36983,             0.35825,            0.013169,           0.0036794,            0.015262,           0.0099315,           0.0095692,           0.0095692
                   3,            0.027815,            0.010581,            0.034343,             0.33241,             0.44423,             0.30684,             0.26941,            0.012569,           0.0032212,            0.026244,            0.009406,            0.009406,            0.009406
                   4,            0.022804,           0.0094824,            0.033795,             0.55975,             0.59506,             0.39412,             0.38003,           0.0053593,           0.0033824,            0.014277,            0.009406,            0.009406,            0.009406
                   5,              0.0206,           0.0086374,            0.032721,             0.57069,             0.58525,             0.43209,             0.39341,           0.0067957,           0.0037576,            0.013247,            0.009208,            0.009208,            0.009208
                   6,            0.019207,           0.0083517,            0.032456,             0.78975,             0.47064,              0.5564,             0.54853,            0.007324,           0.0032165,            0.012669,             0.00901,             0.00901,             0.00901
                   7,            0.018543,            0.007685,            0.030665,             0.73702,             0.57646,             0.61181,             0.57859,           0.0055468,           0.0029194,            0.011878,            0.008812,            0.008812,            0.008812
                   8,            0.016731,            0.007409,            0.028712,             0.77477,             0.59364,             0.65285,             0.61547,           0.0055152,           0.0035007,           0.0097019,            0.008614,            0.008614,            0.008614
                   9,            0.015743,           0.0071205,            0.029564,             0.69996,             0.66018,             0.64992,             0.60561,           0.0058492,           0.0023389,           0.0099611,            0.008416,            0.008416,            0.008416
                  10,            0.014307,           0.0067763,             0.02745,             0.69056,             0.71061,             0.68683,             0.67489,           0.0041543,           0.0029212,            0.010325,            0.008218,            0.008218,            0.008218
                  11,            0.014131,           0.0064037,            0.027409,             0.54328,             0.85298,             0.69385,             0.66829,           0.0036605,            0.003346,           0.0076316,             0.00802,             0.00802,             0.00802
                  12,            0.013886,           0.0063063,            0.025992,             0.57477,             0.87571,             0.70428,             0.69906,           0.0048839,           0.0032017,           0.0085629,            0.007822,            0.007822,            0.007822
                  13,            0.012896,           0.0062604,            0.025809,             0.61923,             0.88267,             0.71567,             0.69781,            0.003797,           0.0036515,            0.007111,            0.007624,            0.007624,            0.007624
                  14,            0.012463,           0.0058222,            0.025189,             0.61865,             0.90698,             0.72012,             0.70892,           0.0034745,           0.0031819,           0.0063116,            0.007426,            0.007426,            0.007426
                  15,            0.012232,           0.0057317,             0.02417,             0.59586,             0.86449,             0.72156,             0.70515,           0.0041311,           0.0029511,           0.0070477,            0.007228,            0.007228,            0.007228
                  16,             0.01171,           0.0056765,            0.025644,             0.57608,             0.80758,             0.74603,             0.70374,           0.0046565,           0.0023796,           0.0081564,             0.00703,             0.00703,             0.00703
                  17,            0.011381,           0.0054754,              0.0244,              0.6099,              0.8697,             0.74509,             0.73531,           0.0036432,           0.0032539,            0.006848,            0.006832,            0.006832,            0.006832
                  18,            0.011298,            0.005285,            0.024499,             0.88258,             0.72505,              0.8205,             0.77583,            0.003532,           0.0034625,           0.0060987,            0.006634,            0.006634,            0.006634
                  19,            0.010905,           0.0054286,            0.023935,             0.70869,             0.85111,             0.80962,             0.77934,             0.00397,           0.0031213,           0.0057907,            0.006436,            0.006436,            0.006436
                  20,            0.010558,           0.0052358,            0.023626,             0.74826,             0.83057,             0.86888,             0.83818,           0.0040033,           0.0034053,           0.0056155,            0.006238,            0.006238,            0.006238
                  21,            0.010918,           0.0051891,            0.021744,             0.79545,             0.87218,             0.91534,             0.88799,           0.0036989,           0.0031377,           0.0048035,             0.00604,             0.00604,             0.00604
                  22,            0.010081,           0.0050805,            0.021878,             0.88496,             0.83254,             0.89655,             0.87864,            0.004172,           0.0035184,           0.0052431,            0.005842,            0.005842,            0.005842
                  23,           0.0094392,           0.0048697,            0.021405,             0.90696,             0.89673,             0.94497,              0.9109,           0.0039867,           0.0032788,            0.003862,            0.005644,            0.005644,            0.005644
                  24,           0.0099053,           0.0048301,            0.021323,             0.88012,             0.85905,             0.92667,             0.90475,           0.0039172,           0.0040994,            0.004216,            0.005446,            0.005446,            0.005446
                  25,           0.0095847,           0.0046836,            0.021748,              0.9391,             0.91408,             0.96777,             0.95856,           0.0035831,           0.0028963,           0.0032213,            0.005248,            0.005248,            0.005248
                  26,           0.0094562,           0.0047797,            0.019765,             0.91077,             0.91492,             0.95648,             0.91884,           0.0033391,           0.0033091,           0.0035248,             0.00505,             0.00505,             0.00505
                  27,           0.0087815,           0.0044876,            0.020863,             0.94676,             0.90402,             0.96878,             0.93676,           0.0035488,           0.0027196,           0.0032536,            0.004852,            0.004852,            0.004852
                  28,           0.0086504,           0.0045088,            0.020112,             0.90884,             0.87896,             0.95494,             0.91707,           0.0031544,           0.0029535,            0.003966,            0.004654,            0.004654,            0.004654
                  29,           0.0085702,           0.0043824,            0.020055,             0.92576,             0.89179,             0.96945,             0.95689,           0.0032929,           0.0030701,           0.0032725,            0.004456,            0.004456,            0.004456
                  30,           0.0077922,           0.0042438,            0.019831,             0.88008,             0.91106,             0.96435,              0.9526,           0.0032928,           0.0035854,           0.0038649,            0.004258,            0.004258,            0.004258
                  31,           0.0080884,           0.0043235,            0.018766,             0.88871,             0.90567,             0.96273,             0.94183,           0.0030685,           0.0035949,           0.0039562,             0.00406,             0.00406,             0.00406
                  32,           0.0074515,           0.0040518,            0.018143,             0.94349,             0.93315,              0.9801,             0.97066,           0.0027174,           0.0031316,           0.0029453,            0.003862,            0.003862,            0.003862
                  33,           0.0074214,           0.0039181,            0.018644,             0.94908,             0.95158,             0.98508,             0.95302,            0.003344,           0.0036637,           0.0023408,            0.003664,            0.003664,            0.003664
                  34,           0.0073598,           0.0040132,            0.017471,             0.94576,             0.96353,             0.98263,             0.96171,           0.0032828,           0.0033486,           0.0024823,            0.003466,            0.003466,            0.003466
                  35,           0.0074596,            0.003989,            0.017857,             0.93608,             0.94822,             0.98138,             0.97091,           0.0029178,           0.0033548,            0.002503,            0.003268,            0.003268,            0.003268
                  36,           0.0068565,           0.0038397,            0.017114,              0.9648,             0.93506,             0.98266,             0.95075,           0.0029921,           0.0034507,           0.0023219,             0.00307,             0.00307,             0.00307
                  37,           0.0066656,           0.0037495,            0.017609,             0.94554,             0.92772,             0.98515,             0.97346,              0.0032,           0.0035757,           0.0025617,            0.002872,            0.002872,            0.002872
                  38,           0.0064129,           0.0037343,            0.017069,             0.95693,             0.95567,             0.98473,             0.94206,           0.0031473,           0.0037044,           0.0022769,            0.002674,            0.002674,            0.002674
                  39,           0.0062713,           0.0035546,            0.016263,             0.96073,             0.94937,             0.98352,             0.96362,           0.0030587,           0.0031088,           0.0022841,            0.002476,            0.002476,            0.002476
                  40,           0.0058096,           0.0033606,            0.018195,             0.96327,             0.96278,             0.98528,             0.96832,           0.0028526,           0.0038804,           0.0019904,            0.002278,            0.002278,            0.002278
                  41,           0.0057943,           0.0033929,            0.016152,             0.96697,             0.96127,             0.98665,             0.94868,           0.0033951,           0.0033215,           0.0019774,             0.00208,             0.00208,             0.00208
                  42,           0.0055719,           0.0033012,            0.016989,             0.94747,             0.97676,             0.98663,             0.97349,           0.0028258,           0.0031018,            0.001941,            0.001882,            0.001882,            0.001882
                  43,           0.0052029,           0.0031869,            0.015584,               0.951,             0.96643,             0.98768,             0.97725,           0.0025576,           0.0034546,           0.0019002,            0.001684,            0.001684,            0.001684
                  44,           0.0049824,           0.0031801,             0.01524,             0.97824,              0.9733,             0.98959,             0.97864,           0.0029171,           0.0035103,           0.0016081,            0.001486,            0.001486,            0.001486
                  45,           0.0047268,           0.0030221,            0.014891,             0.97197,             0.96725,             0.98935,             0.97657,           0.0029132,           0.0036966,           0.0017325,            0.001288,            0.001288,            0.001288
                  46,           0.0043982,           0.0029022,            0.015088,             0.98105,             0.97235,             0.99012,             0.98031,           0.0027944,           0.0037104,           0.0015105,             0.00109,             0.00109,             0.00109
                  47,           0.0044146,           0.0028476,            0.014838,             0.97528,             0.97304,             0.98947,             0.97488,            0.002823,            0.003441,           0.0016224,            0.000892,            0.000892,            0.000892
                  48,           0.0040656,           0.0027393,            0.014702,             0.97419,             0.97842,             0.99094,             0.97717,             0.00277,           0.0034845,           0.0013946,            0.000694,            0.000694,            0.000694
                  49,           0.0038054,           0.0026898,            0.013837,              0.9826,             0.96872,             0.99064,             0.98008,            0.002739,           0.0035301,           0.0013871,            0.000496,            0.000496,            0.000496
